выбрать	decide (on)
иметь шанс	stand a chance
при обстоятельствах 	under/in circumstances
доказательства	evidence
доказательства чего то	evidence of
последствия 	consequence
доказывать	prove (d)
причина	reason
причина что бы сделать	reason to V1
причина делания	reason for Ving
мнение 	opinion
принять	accept (ed)
отказывать	refuse = turn down
убеждать	convince
убеждать кого то в своем мнениее	convince sb of your viewpoint
влиять на кого то	influence sb
влияние на кого то	influence on sb
иметь влияние на кого то	have influence on sb
оправдание	an exuse
облегчение	a relief
удача	fortune
неудача	misfortune
состояние	fortune
