устраиваться на работу	apply for a job
собеседование	job interview
ходить на работу	go to work
делать работу	do work
персонал	staff 
департамент	department
оптыт в чем то	experience in
навыки	skills
работать в дневную смену	work a day shift
заполнить заявление	fill in an application
реклама	 ads
подписать контракт	sigh a contract
филиал	branch
повышать квалификацию	upgrade qualification
условия работы	working conditions
условия	conditions
частичная занятость	work part time
полная занятость	work full time
перерабатывать	work overtime
