ждать кого то	wait for
заботиться о ком то/чем то	take care for
искать	look for
присматриваться	look after
ждать с нетерпением	look forward to V1ing with smb
состоять из	consist of
выяснять правду	find out
включать	turn on
выключать	turn off
просить кого то о чем то	ask smb for smth
просить когото что то сделать	ask smb to V1ing
одевать 	put on
снимать 	take off
ломаться (механически)	brake down
пытаться что то сделать	try to V1
пытаться не сделать	try not V1
решать что то сделать	decide to V1
решать не делать	decide not to V1
