играть на гитаре	play the guitar
играть в настольую игру	play board game
играть в карты	play cards
играть в волейбол	play valley ball
устраивать барбеку	have a barbecue
жарить на гриле	grill
проводить время	spend time (V1ing with smb)
подниматься в горы	climb the mountains
устанавливать палатку	put up a tent
собирать палатку	take down a tent
ездить на лошади/велосипеде	ride a horse/bicycle
на свежем воздухе	in the open air
швейцарский нож	Swiss army knife
резать с помощью швеййарского ножа	cut with Swiss army knife
списка	match
разводить огонь	make a fire
тушить огонь	put out a fire
идти на пикник	go on a picnic
идти в лес	go to the forest
плыть и урпавлять лодкой	saile a boat
