ботинок	a boot
обувь на высокой подошве	high-heeled shoes
обувь на плоской подошве	flat shoes
тапочeк/тапочки	a slipper/ slippers
сандвли	sandals
кросовок	a sneaker
кросовок word 2	a trainer
пуговица	a button
молния	zipper
шнурок	shoelace
носить	wear
носил	wore
ношеный	worn
одевать	put on
снимать	take off
снимал	took off
снятый	taken off
застегивать 	do up
растегивать	undo
в обтяжку / тесный	tight
свободный	loose
быть к лицу	suit
подходить по размеру	fit
примерочкая	fitting room
в примерочной 	in the fitting room
примерять	try on
пальто	coat
петрушка	parsley
кастрюля	pan
