лагерь	camp
быть в лагере	be in camp
жить в лагере	to camp
турист палаточник	camper
уличное кафе	outdoor cafe
на свежем воздухе (в конце предложения)	outdoors
отправляться в путешествие	go on a journey
отправляться в поездку ( короткую )	go on a trip
ходитьв пеший поход	to hike
пеший поход	hike
путешествовать автостопом	hitchhike
рюкзак	backpack
спальный мешок	sleeping bag
плавать на лодке	go by boat
влажная салфетка	moist wipe
средство от насекомых	bug spray
фонарь	flash light
озеро	lake
возле озера	at the lake
возле реки	at the river
идти к реке	go to the river
