на автобусной остановке	at the bus stop
использовать публичный транспорт	go by/use/take public transport
проверять билет	validate your ticket
экскаватор	escalator
метро (британское)	go by/use/take an underground
метро (европейский)	go by/use/take a metro
метро (америкнское)	go by/use/take a subway
подземный переход	underpass
мост	bridge
фонтан	fountain
перксекать	cross
ждать кого-то/что-то	wait for
повернуть налево/направо	turn left/right
ехать чем то 	go by ----
взять такси	take a taxi
подыматься вверх по лестницу	go upstairs
спускаться вниз по лестницу	go downupstairs
садиться в 	get on
выходить из 	get off
быть близким к чему то	be close to
быть недалеко от	be not far from
садиться в машину	get in a car
выходить из машины	get out of a car
