поведение	behavior
подтвердить что то	confirm smth/ that ...
ценить кого то / что то	appreciate smb smth
невыносимый	unbearable
увлеченный чем то/ кем то	passionete about smb, smth
хвастаться чем то	blag about smth/smb
мириться с чем то / с факто что	come with terms with smth / the fact that
разрешение	permission
расчитывать на кого то	count on smb = rely on
выяснять 	figure out
завести роман	have an affair
поддерживать кого то / что то	maintain smb / smth
угрожать кому то чем то	threaten smb with smth
предавать	betray
очень хотелось делать что то	fancy V1ing
поощрять кого то	encourage smb
вдохновлять кого то	inspire smb
извиняться за что то / за делание	apologize for smth / V1 ing
